Time,Period,Team,Primary Player,Secondary Player,Play Description,Event Type,Action Type,Outcome,Distance (ft),Current Points Scored,IND Cum. Score,SAS Cum. Score
7:05.0,Q1,Indiana Pacers,T. Haliburton,,T. Haliburton makes 2-pt layup from 3 ft,Shot,Layup,Made,3 ft,IND: 2,IND: 15,SAS: 11
6:40.0,Q1,San Antonio Spurs,S. Castle,,S. Castle misses 2-pt jump shot from 12 ft,Shot,Jump Shot,Missed,12 ft,No points scored,IND: 15,SAS: 11
6:37.0,Q1,Indiana Pacers,A. Nembhard,,Defensive rebound by A. Nembhard,Rebound,Defensive,N/A,N/A,No points scored,IND: 15,SAS: 11
6:28.0,Q1,Indiana Pacers,B. Mathurin,,B. Mathurin makes 3-pt jump shot from 28 ft,Shot,Jump Shot,Made,28 ft,IND: 3,IND: 18,SAS: 11
6:11.0,Q1,San Antonio Spurs,H. Barnes,S. Castle,H. Barnes makes 3-pt jump shot from 22 ft (assist by S. Castle),Shot,Jump Shot,Made,22 ft,SAS: 3,IND: 18,SAS: 14
6:02.0,Q1,Indiana Pacers,A. Nembhard,,A. Nembhard misses 2-pt jump shot from 14 ft,Shot,Jump Shot,Missed,14 ft,No points scored,IND: 18,SAS: 14
5:58.0,Q1,San Antonio Spurs,H. Barnes,,Defensive rebound by H. Barnes,Rebound,Defensive,N/A,N/A,No points scored,IND: 18,SAS: 14
5:48.0,Q1,San Antonio Spurs,H. Barnes,,H. Barnes makes 2-pt layup from 3 ft,Shot,Layup,Made,3 ft,SAS: 2,IND: 18,SAS: 16
5:38.0,Q1,Indiana Pacers,P. Siakam,M. Turner,P. Siakam makes 2-pt layup from 4 ft (assist by M. Turner),Shot,Layup,Made,4 ft,IND: 2,IND: 20,SAS: 16
5:25.0,Q1,San Antonio Spurs,H. Barnes,,H. Barnes misses 3-pt jump shot from 24 ft,Shot,Jump Shot,Missed,24 ft,No points scored,IND: 20,SAS: 16
5:22.0,Q1,Indiana Pacers,P. Siakam,,Defensive rebound by P. Siakam,Rebound,Defensive,N/A,N/A,No points scored,IND: 20,SAS: 16
5:14.0,Q1,Indiana Pacers,C. Paul,M. Turner,Personal foul by C. Paul(drawn by M. Turner),Foul,Personal,N/A,N/A,No points scored,IND: 20,SAS: 16
5:14.0,Q1,Indiana Pacers,O. Toppin,,O. Toppin enters the game for P. Siakam,Substitution,Enters Game,N/A,N/A,No points scored,IND: 20,SAS: 16
5:14.0,Q1,San Antonio Spurs,K. Johnson,,K. Johnson enters the game for S. Castle,Substitution,Enters Game,N/A,N/A,No points scored,IND: 20,SAS: 16
5:14.0,Q1,San Antonio Spurs,T. Jones,,T. Jones enters the game for C. Paul,Substitution,Enters Game,N/A,N/A,No points scored,IND: 20,SAS: 16
5:14.0,Q1,San Antonio Spurs,J. Sochan,,J. Sochan enters the game for V. Wembanyama,Substitution,Enters Game,N/A,N/A,No points scored,IND: 20,SAS: 16
5:03.0,Q1,Indiana Pacers,K. Johnson,A. Nembhard,Shooting foul by K. Johnson(drawn by A. Nembhard),Foul,Shooting,N/A,N/A,No points scored,IND: 20,SAS: 16
5:03.0,Q1,Indiana Pacers,A. Nembhard,,A. Nembhard makes free throw 1 of 2,Shot,Free Throw,Made,N/A,IND: 1,IND: 21,SAS: 16
5:03.0,Q1,Indiana Pacers,T. Bryant,,T. Bryant enters the game for B. Mathurin,Substitution,Enters Game,N/A,N/A,No points scored,IND: 21,SAS: 16
5:03.0,Q1,Indiana Pacers,A. Nesmith,,A. Nesmith enters the game for M. Turner,Substitution,Enters Game,N/A,N/A,No points scored,IND: 21,SAS: 16
5:03.0,Q1,Indiana Pacers,A. Nembhard,,A. Nembhard misses free throw 2 of 2,Shot,Free Throw,Missed,N/A,No points scored,IND: 21,SAS: 16
5:02.0,Q1,San Antonio Spurs,H. Barnes,,Defensive rebound by H. Barnes,Rebound,Defensive,N/A,N/A,No points scored,IND: 21,SAS: 16
4:54.0,Q1,San Antonio Spurs,H. Barnes,,H. Barnes makes 2-pt jump shot from 6 ft,Shot,Jump Shot,Made,6 ft,SAS: 2,IND: 21,SAS: 18
