Time,Period,Team,Primary Player,Secondary Player,Play Description,Event Type,Action Type,Outcome,Distance (ft),Current Points Scored,IND Cum. Score,SAS Cum. Score
6:52.0,Q2,Indiana Pacers,B. Sheppard,,Offensive rebound by B. Sheppard,Rebound,Offensive,N/A,N/A,No points scored,IND: 39,SAS: 39
6:51.0,Q2,Indiana Pacers,T. Haliburton,B. Sheppard,T. Haliburton makes 3-pt jump shot from 28 ft (assist by B. Sheppard),Shot,Jump Shot,Made,28 ft,IND: 3,IND: 42,SAS: 39
6:32.0,Q2,San Antonio Spurs,V. Wembanyama,S. Mamukelashvili,V. Wembanyama makes 2-pt dunk from 1 ft (assist by S. Mamukelashvili),Shot,Dunk,Made,1 ft,SAS: 2,IND: 42,SAS: 41
6:20.0,Q2,Indiana Pacers,T. Haliburton,,T. Haliburton makes 3-pt jump shot from 28 ft,Shot,Jump Shot,Made,28 ft,IND: 3,IND: 45,SAS: 41
5:59.0,Q2,San Antonio Spurs,S. Castle,T. Haliburton,S. Castle misses 2-pt layup from 3 ft (block by T. Haliburton),Shot,Layup,Missed,3 ft,No points scored,IND: 45,SAS: 41
5:58.0,Q2,Indiana Pacers,O. Toppin,,Defensive rebound by O. Toppin,Rebound,Defensive,N/A,N/A,No points scored,IND: 45,SAS: 41
5:54.0,Q2,Indiana Pacers,T. Haliburton,,T. Haliburton misses 3-pt jump shot from 28 ft,Shot,Jump Shot,Missed,28 ft,No points scored,IND: 45,SAS: 41
5:51.0,Q2,San Antonio Spurs,V. Wembanyama,,Defensive rebound by V. Wembanyama,Rebound,Defensive,N/A,N/A,No points scored,IND: 45,SAS: 41
5:44.0,Q2,San Antonio Spurs,V. Wembanyama,C. Paul,V. Wembanyama makes 2-pt dunk from 2 ft (assist by C. Paul),Shot,Dunk,Made,2 ft,SAS: 2,IND: 45,SAS: 43
5:44.0,Q2,San Antonio Spurs,B. Sheppard,V. Wembanyama,Shooting foul by B. Sheppard(drawn by V. Wembanyama),Foul,Shooting,N/A,N/A,No points scored,IND: 45,SAS: 43
5:44.0,Q2,Indiana Pacers,A. Nembhard,,A. Nembhard enters the game for B. Sheppard,Substitution,Enters Game,N/A,N/A,No points scored,IND: 45,SAS: 43
5:44.0,Q2,San Antonio Spurs,T. Jones,,T. Jones enters the game for S. Castle,Substitution,Enters Game,N/A,N/A,No points scored,IND: 45,SAS: 43
5:44.0,Q2,San Antonio Spurs,J. Sochan,,J. Sochan enters the game for S. Mamukelashvili,Substitution,Enters Game,N/A,N/A,No points scored,IND: 45,SAS: 43
5:44.0,Q2,San Antonio Spurs,D. Vassell,,D. Vassell enters the game for C. Paul,Substitution,Enters Game,N/A,N/A,No points scored,IND: 45,SAS: 43
5:44.0,Q2,San Antonio Spurs,V. Wembanyama,,V. Wembanyama makes free throw 1 of 1,Shot,Free Throw,Made,N/A,SAS: 1,IND: 45,SAS: 44
5:31.0,Q2,Indiana Pacers,B. Mathurin,,B. Mathurin makes 3-pt jump shot from 26 ft,Shot,Jump Shot,Made,26 ft,IND: 3,IND: 48,SAS: 44
5:20.0,Q2,San Antonio Spurs,J. Sochan,,Turnover by J. Sochan(bad pass),Turnover,bad pass,N/A,N/A,No points scored,IND: 48,SAS: 44
5:20.0,Q2,San Antonio Spurs,S. Castle,,S. Castle enters the game for V. Wembanyama,Substitution,Enters Game,N/A,N/A,No points scored,IND: 48,SAS: 44
5:14.0,Q2,Indiana Pacers,B. Mathurin,,B. Mathurin misses 3-pt jump shot from 26 ft,Shot,Jump Shot,Missed,26 ft,No points scored,IND: 48,SAS: 44
5:12.0,Q2,Indiana Pacers,,,Offensive rebound by Team,Rebound,Offensive,N/A,N/A,No points scored,IND: 48,SAS: 44
5:12.0,Q2,San Antonio Spurs,D. Vassell,M. Turner,Loose ball foul by D. Vassell(drawn by M. Turner),Foul,Loose Ball,N/A,N/A,No points scored,IND: 48,SAS: 44
5:12.0,Q2,Indiana Pacers,T. Bryant,,T. Bryant enters the game for M. Turner,Substitution,Enters Game,N/A,N/A,No points scored,IND: 48,SAS: 44
5:06.0,Q2,Indiana Pacers,B. Mathurin,,B. Mathurin misses 2-pt layup from 5 ft,Shot,Layup,Missed,5 ft,No points scored,IND: 48,SAS: 44
5:02.0,Q2,Indiana Pacers,A. Nembhard,,Offensive rebound by A. Nembhard,Rebound,Offensive,N/A,N/A,No points scored,IND: 48,SAS: 44
5:00.0,Q2,Indiana Pacers,O. Toppin,A. Nembhard,O. Toppin makes 2-pt layup from 3 ft (assist by A. Nembhard),Shot,Layup,Made,3 ft,IND: 2,IND: 50,SAS: 44
4:45.0,Q2,San Antonio Spurs,T. Jones,,T. Jones makes 2-pt layup from 5 ft,Shot,Layup,Made,5 ft,SAS: 2,IND: 50,SAS: 46
4:45.0,Q2,San Antonio Spurs,A. Nembhard,T. Jones,Shooting foul by A. Nembhard(drawn by T. Jones),Foul,Shooting,N/A,N/A,No points scored,IND: 50,SAS: 46
4:45.0,Q2,San Antonio Spurs,T. Jones,,T. Jones makes free throw 1 of 1,Shot,Free Throw,Made,N/A,SAS: 1,IND: 50,SAS: 47
4:33.0,Q2,Indiana Pacers,T. Haliburton,,T. Haliburton misses 2-pt jump shot from 4 ft,Shot,Jump Shot,Missed,4 ft,No points scored,IND: 50,SAS: 47
4:30.0,Q2,San Antonio Spurs,J. Sochan,,Defensive rebound by J. Sochan,Rebound,Defensive,N/A,N/A,No points scored,IND: 50,SAS: 47
4:26.0,Q2,San Antonio Spurs,J. Sochan,,Turnover by J. Sochan(bad pass; steal by A. Nembhard),Turnover,bad pass; steal by A. Nembhard,N/A,N/A,No points scored,IND: 50,SAS: 47
4:22.0,Q2,Indiana Pacers,B. Mathurin,,B. Mathurin misses 2-pt layup from 2 ft,Shot,Layup,Missed,2 ft,No points scored,IND: 50,SAS: 47
4:21.0,Q2,San Antonio Spurs,H. Barnes,,Defensive rebound by H. Barnes,Rebound,Defensive,N/A,N/A,No points scored,IND: 50,SAS: 47
4:14.0,Q2,San Antonio Spurs,J. Sochan,,J. Sochan misses 2-pt layup from 6 ft,Shot,Layup,Missed,6 ft,No points scored,IND: 50,SAS: 47
4:12.0,Q2,San Antonio Spurs,,,Offensive rebound by Team,Rebound,Offensive,N/A,N/A,No points scored,IND: 50,SAS: 47
4:07.0,Q2,San Antonio Spurs,D. Vassell,,D. Vassell misses 2-pt jump shot from 12 ft,Shot,Jump Shot,Missed,12 ft,No points scored,IND: 50,SAS: 47
4:04.0,Q2,Indiana Pacers,O. Toppin,,Defensive rebound by O. Toppin,Rebound,Defensive,N/A,N/A,No points scored,IND: 50,SAS: 47
3:50.0,Q2,Indiana Pacers,O. Toppin,D. Vassell,O. Toppin misses 2-pt layup from 4 ft (block by D. Vassell),Shot,Layup,Missed,4 ft,No points scored,IND: 50,SAS: 47
3:48.0,Q2,Indiana Pacers,O. Toppin,,Offensive rebound by O. Toppin,Rebound,Offensive,N/A,N/A,No points scored,IND: 50,SAS: 47
3:47.0,Q2,Indiana Pacers,J. Sochan,B. Mathurin,Personal foul by J. Sochan(drawn by B. Mathurin),Foul,Personal,N/A,N/A,No points scored,IND: 50,SAS: 47
3:42.0,Q2,Indiana Pacers,T. Haliburton,,T. Haliburton misses 3-pt jump shot from 27 ft,Shot,Jump Shot,Missed,27 ft,No points scored,IND: 50,SAS: 47
3:39.0,Q2,Indiana Pacers,T. Bryant,,Offensive rebound by T. Bryant,Rebound,Offensive,N/A,N/A,No points scored,IND: 50,SAS: 47
3:38.0,Q2,Indiana Pacers,T. Bryant,,T. Bryant makes 2-pt layup from 3 ft,Shot,Layup,Made,3 ft,IND: 2,IND: 52,SAS: 47
3:19.0,Q2,San Antonio Spurs,S. Castle,,Turnover by S. Castle(traveling),Turnover,traveling,N/A,N/A,No points scored,IND: 52,SAS: 47
2:55.0,Q2,Indiana Pacers,J. Sochan,B. Mathurin,Shooting foul by J. Sochan(drawn by B. Mathurin),Foul,Shooting,N/A,N/A,No points scored,IND: 52,SAS: 47
2:55.0,Q2,San Antonio Spurs,,,San Antonio full timeout,Timeout,Full,N/A,N/A,No points scored,IND: 52,SAS: 47
2:55.0,Q2,Indiana Pacers,P. Siakam,,P. Siakam enters the game for T. Bryant,Substitution,Enters Game,N/A,N/A,No points scored,IND: 52,SAS: 47
2:55.0,Q2,Indiana Pacers,M. Turner,,M. Turner enters the game for O. Toppin,Substitution,Enters Game,N/A,N/A,No points scored,IND: 52,SAS: 47
2:55.0,Q2,San Antonio Spurs,C. Paul,,C. Paul enters the game for H. Barnes,Substitution,Enters Game,N/A,N/A,No points scored,IND: 52,SAS: 47
2:55.0,Q2,San Antonio Spurs,V. Wembanyama,,V. Wembanyama enters the game for S. Castle,Substitution,Enters Game,N/A,N/A,No points scored,IND: 52,SAS: 47
2:55.0,Q2,Indiana Pacers,B. Mathurin,,B. Mathurin makes free throw 1 of 2,Shot,Free Throw,Made,N/A,IND: 1,IND: 53,SAS: 47
2:55.0,Q2,Indiana Pacers,B. Mathurin,,B. Mathurin makes free throw 2 of 2,Shot,Free Throw,Made,N/A,IND: 1,IND: 54,SAS: 47
2:54.0,Q2,San Antonio Spurs,J. Sochan,,Turnover by J. Sochan(bad pass; steal by M. Turner),Turnover,bad pass; steal by M. Turner,N/A,N/A,No points scored,IND: 54,SAS: 47
2:53.0,Q2,Indiana Pacers,P. Siakam,,P. Siakam makes 2-pt layup from 3 ft,Shot,Layup,Made,3 ft,IND: 2,IND: 56,SAS: 47
2:25.0,Q2,San Antonio Spurs,D. Vassell,V. Wembanyama,D. Vassell makes 3-pt jump shot from 25 ft (assist by V. Wembanyama),Shot,Jump Shot,Made,25 ft,SAS: 3,IND: 56,SAS: 50
2:09.0,Q2,Indiana Pacers,P. Siakam,A. Nembhard,P. Siakam makes 2-pt jump shot from 15 ft (assist by A. Nembhard),Shot,Jump Shot,Made,15 ft,IND: 2,IND: 58,SAS: 50
1:59.0,Q2,San Antonio Spurs,D. Vassell,P. Siakam,D. Vassell misses 2-pt layup from 5 ft (block by P. Siakam),Shot,Layup,Missed,5 ft,No points scored,IND: 58,SAS: 50
1:57.0,Q2,Indiana Pacers,P. Siakam,,Defensive rebound by P. Siakam,Rebound,Defensive,N/A,N/A,No points scored,IND: 58,SAS: 50
1:39.0,Q2,Indiana Pacers,A. Nembhard,M. Turner,A. Nembhard makes 3-pt jump shot from 23 ft (assist by M. Turner),Shot,Jump Shot,Made,23 ft,IND: 3,IND: 61,SAS: 50
1:16.0,Q2,San Antonio Spurs,V. Wembanyama,M. Turner,V. Wembanyama misses 2-pt layup from 2 ft (block by M. Turner),Shot,Layup,Missed,2 ft,No points scored,IND: 61,SAS: 50
1:13.0,Q2,San Antonio Spurs,J. Sochan,,Offensive rebound by J. Sochan,Rebound,Offensive,N/A,N/A,No points scored,IND: 61,SAS: 50
1:11.0,Q2,San Antonio Spurs,V. Wembanyama,,V. Wembanyama misses 3-pt jump shot from 24 ft,Shot,Jump Shot,Missed,24 ft,No points scored,IND: 61,SAS: 50
1:09.0,Q2,Indiana Pacers,A. Nembhard,,Defensive rebound by A. Nembhard,Rebound,Defensive,N/A,N/A,No points scored,IND: 61,SAS: 50
1:01.0,Q2,Indiana Pacers,T. Jones,P. Siakam,Personal foul by T. Jones(drawn by P. Siakam),Foul,Personal,N/A,N/A,No points scored,IND: 61,SAS: 50
0:51.0,Q2,Indiana Pacers,M. Turner,T. Haliburton,M. Turner makes 2-pt dunk from 3 ft (assist by T. Haliburton),Shot,Dunk,Made,3 ft,IND: 2,IND: 63,SAS: 50
0:39.0,Q2,San Antonio Spurs,J. Sochan,A. Nembhard,Offensive foul by J. Sochan(drawn by A. Nembhard),Foul,Offensive,N/A,N/A,No points scored,IND: 63,SAS: 50
0:39.0,Q2,San Antonio Spurs,J. Sochan,,Turnover by J. Sochan(offensive foul),Foul,Offensive,N/A,N/A,No points scored,IND: 63,SAS: 50
0:30.0,Q2,Indiana Pacers,M. Turner,,Turnover by M. Turner(out of bounds lost ball),Turnover,out of bounds lost ball,N/A,N/A,No points scored,IND: 63,SAS: 50
0:06.0,Q2,San Antonio Spurs,,,Turnover by Team (shot clock),Turnover,shot clock,N/A,N/A,No points scored,IND: 63,SAS: 50
0:00.0,Q2,Indiana Pacers,T. Haliburton,,T. Haliburton makes 2-pt layup from 5 ft,Shot,Layup,Made,5 ft,IND: 2,IND: 65,SAS: 50
11:38.0,Q3,Indiana Pacers,P. Siakam,,P. Siakam makes 2-pt jump shot from 14 ft,Shot,Jump Shot,Made,14 ft,IND: 2,IND: 67,SAS: 50
11:23.0,Q3,San Antonio Spurs,S. Castle,C. Paul,S. Castle makes 2-pt layup from 2 ft (assist by C. Paul),Shot,Layup,Made,2 ft,SAS: 2,IND: 67,SAS: 52
11:23.0,Q3,San Antonio Spurs,P. Siakam,S. Castle,Shooting foul by P. Siakam(drawn by S. Castle),Foul,Shooting,N/A,N/A,No points scored,IND: 67,SAS: 52
11:23.0,Q3,San Antonio Spurs,S. Castle,,S. Castle makes free throw 1 of 1,Shot,Free Throw,Made,N/A,SAS: 1,IND: 67,SAS: 53
11:03.0,Q3,Indiana Pacers,M. Turner,,M. Turner misses 2-pt jump shot from 9 ft,Shot,Jump Shot,Missed,9 ft,No points scored,IND: 67,SAS: 53
11:01.0,Q3,San Antonio Spurs,V. Wembanyama,,Defensive rebound by V. Wembanyama,Rebound,Defensive,N/A,N/A,No points scored,IND: 67,SAS: 53
10:54.0,Q3,San Antonio Spurs,H. Barnes,S. Castle,H. Barnes makes 2-pt layup from 2 ft (assist by S. Castle),Shot,Layup,Made,2 ft,SAS: 2,IND: 67,SAS: 55
10:54.0,Q3,San Antonio Spurs,T. Haliburton,H. Barnes,Shooting foul by T. Haliburton(drawn by H. Barnes),Foul,Shooting,N/A,N/A,No points scored,IND: 67,SAS: 55
10:54.0,Q3,San Antonio Spurs,H. Barnes,,H. Barnes makes free throw 1 of 1,Shot,Free Throw,Made,N/A,SAS: 1,IND: 67,SAS: 56
10:46.0,Q3,Indiana Pacers,T. Haliburton,,T. Haliburton misses 2-pt layup from 3 ft,Shot,Layup,Missed,3 ft,No points scored,IND: 67,SAS: 56
10:44.0,Q3,Indiana Pacers,P. Siakam,,Offensive rebound by P. Siakam,Rebound,Offensive,N/A,N/A,No points scored,IND: 67,SAS: 56
10:39.0,Q3,Indiana Pacers,P. Siakam,,P. Siakam misses 2-pt layup from 3 ft,Shot,Layup,Missed,3 ft,No points scored,IND: 67,SAS: 56
10:37.0,Q3,San Antonio Spurs,V. Wembanyama,,Defensive rebound by V. Wembanyama,Rebound,Defensive,N/A,N/A,No points scored,IND: 67,SAS: 56
10:33.0,Q3,San Antonio Spurs,A. Nembhard,S. Castle,Shooting foul by A. Nembhard(drawn by S. Castle),Foul,Shooting,N/A,N/A,No points scored,IND: 67,SAS: 56
10:33.0,Q3,San Antonio Spurs,S. Castle,,S. Castle makes free throw 1 of 2,Shot,Free Throw,Made,N/A,SAS: 1,IND: 67,SAS: 57
10:33.0,Q3,San Antonio Spurs,S. Castle,,S. Castle misses free throw 2 of 2,Shot,Free Throw,Missed,N/A,No points scored,IND: 67,SAS: 57
10:32.0,Q3,Indiana Pacers,A. Nembhard,,Defensive rebound by A. Nembhard,Rebound,Defensive,N/A,N/A,No points scored,IND: 67,SAS: 57
10:20.0,Q3,Indiana Pacers,A. Nembhard,T. Haliburton,A. Nembhard makes 2-pt jump shot from 8 ft (assist by T. Haliburton),Shot,Jump Shot,Made,8 ft,IND: 2,IND: 69,SAS: 57
10:04.0,Q3,San Antonio Spurs,H. Barnes,T. Haliburton,H. Barnes misses 2-pt layup from 3 ft (block by T. Haliburton),Shot,Layup,Missed,3 ft,No points scored,IND: 69,SAS: 57
10:02.0,Q3,San Antonio Spurs,H. Barnes,,Offensive rebound by H. Barnes,Rebound,Offensive,N/A,N/A,No points scored,IND: 69,SAS: 57
10:02.0,Q3,San Antonio Spurs,S. Castle,,S. Castle misses 2-pt layup from 3 ft,Shot,Layup,Missed,3 ft,No points scored,IND: 69,SAS: 57
9:59.0,Q3,Indiana Pacers,A. Nembhard,,Defensive rebound by A. Nembhard,Rebound,Defensive,N/A,N/A,No points scored,IND: 69,SAS: 57
9:55.0,Q3,Indiana Pacers,M. Turner,,M. Turner misses 3-pt jump shot from 25 ft,Shot,Jump Shot,Missed,25 ft,No points scored,IND: 69,SAS: 57
9:53.0,Q3,San Antonio Spurs,V. Wembanyama,,Defensive rebound by V. Wembanyama,Rebound,Defensive,N/A,N/A,No points scored,IND: 69,SAS: 57
9:46.0,Q3,San Antonio Spurs,D. Vassell,,D. Vassell misses 3-pt jump shot from 22 ft,Shot,Jump Shot,Missed,22 ft,No points scored,IND: 69,SAS: 57
9:42.0,Q3,San Antonio Spurs,S. Castle,,Offensive rebound by S. Castle,Rebound,Offensive,N/A,N/A,No points scored,IND: 69,SAS: 57
9:42.0,Q3,San Antonio Spurs,S. Castle,,S. Castle makes 2-pt jump shot from 6 ft,Shot,Jump Shot,Made,6 ft,SAS: 2,IND: 69,SAS: 59
9:31.0,Q3,Indiana Pacers,M. Turner,D. Vassell,M. Turner misses 2-pt layup from 4 ft (block by D. Vassell),Shot,Layup,Missed,4 ft,No points scored,IND: 69,SAS: 59
9:29.0,Q3,San Antonio Spurs,V. Wembanyama,,Defensive rebound by V. Wembanyama,Rebound,Defensive,N/A,N/A,No points scored,IND: 69,SAS: 59
9:25.0,Q3,San Antonio Spurs,V. Wembanyama,,Turnover by V. Wembanyama(lost ball; steal by A. Nembhard),Turnover,lost ball; steal by A. Nembhard,N/A,N/A,No points scored,IND: 69,SAS: 59
9:18.0,Q3,Indiana Pacers,B. Mathurin,P. Siakam,B. Mathurin makes 2-pt layup from 2 ft (assist by P. Siakam),Shot,Layup,Made,2 ft,IND: 2,IND: 71,SAS: 59
9:00.0,Q3,San Antonio Spurs,H. Barnes,V. Wembanyama,H. Barnes makes 3-pt jump shot from 23 ft (assist by V. Wembanyama),Shot,Jump Shot,Made,23 ft,SAS: 3,IND: 71,SAS: 62
8:51.0,Q3,Indiana Pacers,D. Vassell,B. Mathurin,Personal foul by D. Vassell(drawn by B. Mathurin),Foul,Personal,N/A,N/A,No points scored,IND: 71,SAS: 62
8:41.0,Q3,Indiana Pacers,P. Siakam,,Turnover by P. Siakam(lost ball; steal by S. Castle),Turnover,lost ball; steal by S. Castle,N/A,N/A,No points scored,IND: 71,SAS: 62
8:34.0,Q3,San Antonio Spurs,A. Nembhard,H. Barnes,Shooting foul by A. Nembhard(drawn by H. Barnes),Foul,Shooting,N/A,N/A,No points scored,IND: 71,SAS: 62
8:34.0,Q3,San Antonio Spurs,H. Barnes,,H. Barnes misses free throw 1 of 2,Shot,Free Throw,Missed,N/A,No points scored,IND: 71,SAS: 62
8:34.0,Q3,San Antonio Spurs,,,Offensive rebound by Team,Rebound,Offensive,N/A,N/A,No points scored,IND: 71,SAS: 62
8:34.0,Q3,San Antonio Spurs,H. Barnes,,H. Barnes makes free throw 2 of 2,Shot,Free Throw,Made,N/A,SAS: 1,IND: 71,SAS: 63
8:19.0,Q3,Indiana Pacers,M. Turner,P. Siakam,M. Turner makes 3-pt jump shot from 24 ft (assist by P. Siakam),Shot,Jump Shot,Made,24 ft,IND: 3,IND: 74,SAS: 63
8:07.0,Q3,San Antonio Spurs,S. Castle,C. Paul,S. Castle makes 2-pt dunk from 2 ft (assist by C. Paul),Shot,Dunk,Made,2 ft,SAS: 2,IND: 74,SAS: 65
7:57.0,Q3,Indiana Pacers,B. Mathurin,,B. Mathurin misses 3-pt jump shot from 25 ft,Shot,Jump Shot,Missed,25 ft,No points scored,IND: 74,SAS: 65
7:55.0,Q3,Indiana Pacers,P. Siakam,,Offensive rebound by P. Siakam,Rebound,Offensive,N/A,N/A,No points scored,IND: 74,SAS: 65
7:53.0,Q3,Indiana Pacers,P. Siakam,,Turnover by P. Siakam(lost ball; steal by C. Paul),Turnover,lost ball; steal by C. Paul,N/A,N/A,No points scored,IND: 74,SAS: 65
7:46.0,Q3,San Antonio Spurs,S. Castle,,S. Castle misses 2-pt layup from 2 ft,Shot,Layup,Missed,2 ft,No points scored,IND: 74,SAS: 65
7:44.0,Q3,San Antonio Spurs,S. Castle,,Offensive rebound by S. Castle,Rebound,Offensive,N/A,N/A,No points scored,IND: 74,SAS: 65
7:44.0,Q3,San Antonio Spurs,S. Castle,,S. Castle misses 2-pt layup at rim,Shot,Layup,Missed,N/A,No points scored,IND: 74,SAS: 65
7:44.0,Q3,San Antonio Spurs,S. Castle,,Offensive rebound by S. Castle,Rebound,Offensive,N/A,N/A,No points scored,IND: 74,SAS: 65
7:44.0,Q3,San Antonio Spurs,S. Castle,,S. Castle makes 2-pt layup at rim,Shot,Layup,Made,N/A,SAS: 2,IND: 74,SAS: 67
7:44.0,Q3,Indiana Pacers,,,Indiana full timeout,Timeout,Full,N/A,N/A,No points scored,IND: 74,SAS: 67
7:44.0,Q3,Indiana Pacers,B. Mathurin,,Technical foul by B. Mathurin,Foul,Technical,N/A,N/A,No points scored,IND: 74,SAS: 67
7:44.0,Q3,San Antonio Spurs,C. Paul,,C. Paul makes technical free throw,Shot,Free Throw,Made,N/A,SAS: 1,IND: 74,SAS: 68
7:27.0,Q3,Indiana Pacers,V. Wembanyama,M. Turner,Personal foul by V. Wembanyama(drawn by M. Turner),Foul,Personal,N/A,N/A,No points scored,IND: 74,SAS: 68
7:15.0,Q3,Indiana Pacers,P. Siakam,,P. Siakam misses 2-pt jump shot from 18 ft,Shot,Jump Shot,Missed,18 ft,No points scored,IND: 74,SAS: 68
7:11.0,Q3,San Antonio Spurs,D. Vassell,,Defensive rebound by D. Vassell,Rebound,Defensive,N/A,N/A,No points scored,IND: 74,SAS: 68
7:07.0,Q3,San Antonio Spurs,P. Siakam,H. Barnes,Shooting foul by P. Siakam(drawn by H. Barnes),Foul,Shooting,N/A,N/A,No points scored,IND: 74,SAS: 68
7:07.0,Q3,San Antonio Spurs,H. Barnes,,H. Barnes makes free throw 1 of 2,Shot,Free Throw,Made,N/A,SAS: 1,IND: 74,SAS: 69
7:07.0,Q3,Indiana Pacers,A. Nesmith,,A. Nesmith enters the game for B. Mathurin,Substitution,Enters Game,N/A,N/A,No points scored,IND: 74,SAS: 69
7:07.0,Q3,Indiana Pacers,O. Toppin,,O. Toppin enters the game for P. Siakam,Substitution,Enters Game,N/A,N/A,No points scored,IND: 74,SAS: 69
7:07.0,Q3,San Antonio Spurs,H. Barnes,,H. Barnes misses free throw 2 of 2,Shot,Free Throw,Missed,N/A,No points scored,IND: 74,SAS: 69
7:06.0,Q3,Indiana Pacers,O. Toppin,,Defensive rebound by O. Toppin,Rebound,Defensive,N/A,N/A,No points scored,IND: 74,SAS: 69
6:55.0,Q3,Indiana Pacers,T. Haliburton,,Turnover by T. Haliburton(bad pass; steal by V. Wembanyama),Turnover,bad pass; steal by V. Wembanyama,N/A,N/A,No points scored,IND: 74,SAS: 69
6:48.0,Q3,San Antonio Spurs,V. Wembanyama,,Turnover by V. Wembanyama(bad pass; steal by T. Haliburton),Turnover,bad pass; steal by T. Haliburton,N/A,N/A,No points scored,IND: 74,SAS: 69
6:44.0,Q3,Indiana Pacers,T. Haliburton,,T. Haliburton makes 2-pt dunk from 1 ft,Shot,Dunk,Made,1 ft,IND: 2,IND: 76,SAS: 69
6:21.0,Q3,San Antonio Spurs,D. Vassell,C. Paul,D. Vassell makes 3-pt jump shot from 23 ft (assist by C. Paul),Shot,Jump Shot,Made,23 ft,SAS: 3,IND: 76,SAS: 72
5:58.0,Q3,Indiana Pacers,A. Nembhard,C. Paul,A. Nembhard misses 2-pt jump shot from 12 ft (block by C. Paul),Shot,Jump Shot,Missed,12 ft,No points scored,IND: 76,SAS: 72
5:58.0,Q3,San Antonio Spurs,V. Wembanyama,,Defensive rebound by V. Wembanyama,Rebound,Defensive,N/A,N/A,No points scored,IND: 76,SAS: 72
5:53.0,Q3,San Antonio Spurs,D. Vassell,,D. Vassell misses 3-pt jump shot from 25 ft,Shot,Jump Shot,Missed,25 ft,No points scored,IND: 76,SAS: 72
5:52.0,Q3,San Antonio Spurs,,,Offensive rebound by Team,Rebound,Offensive,N/A,N/A,No points scored,IND: 76,SAS: 72
5:52.0,Q3,Indiana Pacers,A. Nesmith,H. Barnes,Loose ball foul by A. Nesmith(drawn by H. Barnes),Foul,Loose Ball,N/A,N/A,No points scored,IND: 76,SAS: 72
5:52.0,Q3,San Antonio Spurs,H. Barnes,,H. Barnes misses free throw 1 of 2,Shot,Free Throw,Missed,N/A,No points scored,IND: 76,SAS: 72
5:52.0,Q3,San Antonio Spurs,,,Offensive rebound by Team,Rebound,Offensive,N/A,N/A,No points scored,IND: 76,SAS: 72
5:52.0,Q3,Indiana Pacers,B. Sheppard,,B. Sheppard enters the game for T. Haliburton,Substitution,Enters Game,N/A,N/A,No points scored,IND: 76,SAS: 72
5:52.0,Q3,San Antonio Spurs,H. Barnes,,H. Barnes makes free throw 2 of 2,Shot,Free Throw,Made,N/A,SAS: 1,IND: 76,SAS: 73
5:35.0,Q3,Indiana Pacers,O. Toppin,,O. Toppin misses 3-pt jump shot from 25 ft,Shot,Jump Shot,Missed,25 ft,No points scored,IND: 76,SAS: 73
5:32.0,Q3,San Antonio Spurs,H. Barnes,,Defensive rebound by H. Barnes,Rebound,Defensive,N/A,N/A,No points scored,IND: 76,SAS: 73
5:27.0,Q3,San Antonio Spurs,O. Toppin,C. Paul,Personal foul by O. Toppin(drawn by C. Paul),Foul,Personal,N/A,N/A,No points scored,IND: 76,SAS: 73
5:27.0,Q3,San Antonio Spurs,C. Paul,,C. Paul makes free throw 1 of 2,Shot,Free Throw,Made,N/A,SAS: 1,IND: 76,SAS: 74
5:27.0,Q3,Indiana Pacers,T. Haliburton,,T. Haliburton enters the game for B. Sheppard,Substitution,Enters Game,N/A,N/A,No points scored,IND: 76,SAS: 74
5:27.0,Q3,San Antonio Spurs,C. Paul,,C. Paul makes free throw 2 of 2,Shot,Free Throw,Made,N/A,SAS: 1,IND: 76,SAS: 75
5:11.0,Q3,Indiana Pacers,M. Turner,,M. Turner misses 3-pt jump shot from 23 ft,Shot,Jump Shot,Missed,23 ft,No points scored,IND: 76,SAS: 75
5:08.0,Q3,San Antonio Spurs,V. Wembanyama,,Defensive rebound by V. Wembanyama,Rebound,Defensive,N/A,N/A,No points scored,IND: 76,SAS: 75
4:56.0,Q3,San Antonio Spurs,V. Wembanyama,D. Vassell,V. Wembanyama makes 2-pt jump shot from 7 ft (assist by D. Vassell),Shot,Jump Shot,Made,7 ft,SAS: 2,IND: 76,SAS: 77
4:53.0,Q3,Indiana Pacers,,,Indiana full timeout,Timeout,Full,N/A,N/A,No points scored,IND: 76,SAS: 77
4:42.0,Q3,Indiana Pacers,O. Toppin,A. Nembhard,O. Toppin makes 3-pt jump shot from 23 ft (assist by A. Nembhard),Shot,Jump Shot,Made,23 ft,IND: 3,IND: 79,SAS: 77
4:16.0,Q3,San Antonio Spurs,C. Paul,,C. Paul makes 3-pt jump shot from 28 ft,Shot,Jump Shot,Made,28 ft,SAS: 3,IND: 79,SAS: 80
3:56.0,Q3,Indiana Pacers,O. Toppin,,O. Toppin misses 3-pt jump shot from 23 ft,Shot,Jump Shot,Missed,23 ft,No points scored,IND: 79,SAS: 80
3:52.0,Q3,San Antonio Spurs,V. Wembanyama,,Defensive rebound by V. Wembanyama,Rebound,Defensive,N/A,N/A,No points scored,IND: 79,SAS: 80
3:45.0,Q3,San Antonio Spurs,C. Paul,,C. Paul misses 3-pt jump shot from 27 ft,Shot,Jump Shot,Missed,27 ft,No points scored,IND: 79,SAS: 80
